"group"	"official_name"	"name"	"full_addr"	"postcode"	"street"	"house_number"	"products"
1	"ОА Рыбокомбинат Донской"	"Донской рыбокомбинат"	"346901, Ростовская область, г. Новошахтинск, ул. Газопроводная, д. 21"	346901	"Газопроводная улица"	21	"fish"
2	"ООО Пивоваренная компания Балтика"	"Балтика"	"194292, Санкт-Петербург, 6-й Верхний пер., д. 3"	194292	"6-й Верхний переулок"	3	"beer"
2	"Пивзавод Южная Заря 1974"	"Южная Заря 1974"	"344103, Ростовская обл., г. Ростов-На-Дону, ул. Доватора, д. 146А"	344103	"улица Доватора"	"146А"	"beer"
2		"Балтика Самара"	"446403, Самарская обл., Кинельский м.р-н, с.п. Чубовка, промышленная зона, Балтийский пр-д, д. 1"	446403	"Балтийский проезд"	1	"beer"
2		"Тульский пивзавод"	"300036, Тульская обл., г. Тула, Одоевской ш., д. 85"	300036	"Одоевской шоссе"	85	"beer"
2		"Балтика-Хабаровск"	"680042,Хабаровскй край, г. Хабаровск, Воронежское ш. д. 142"	680042	"Воронежское шоссе"	142	"beer"
2	"Пивзавод Ярпиво"	"Ярпиво"	"150030, Ярославская обл. г. Ярославль, ул. Пожарского, д. 63"	150030	"улица Пожарского"	63	"beer"
2		"Воронежский пивзавод"	"394019, Воронежская обл., г. Воронеж, ул. 9 января, д. 109"	394019	"улица 9 Января"	109	"beer"
2		"Балтика-Новосибирск"	"630041, Новосибирская обл., г. Новосибирск, ул. Станционная 2-я, д. 34"	630041	"2-я Станционная улица"	34	"beer"
3	"ООО Первая линия"	"Первая линия"	"624093, Свердловская обл., г. Верхняя Пышма, ул. Мичурина, д. 7"	624093	"улица Мичурина"	7	"food"
